nombre,categoria, precio ,stock,ml,tipo,aroma,marca,imagen 
BENETTON ONE SUMMER FOR HIM,caballero, $922.00 ,2,100,EDT,Amaderada,BENETTON,65143398
SET BENETTON UNITED DREAMS TOGETHER FOR HIM 2PZ,caballero," $1039.00 ",2,100,EST,Amaderada,BENETTON,65191696
UNITED DREAMS AIM HIGH,caballero," $1085.00 ",2,100,EDT,Amaderada,BENETTON,65102232
COLORS MAN BLUE,caballero," $1356.00 ",1,100,EDT,Acuatica,BENETTON,65131032
COLORS BLACK INTENSO,caballero," $1163.00 ",1,100,EDP,Amaderada,BENETTON,65170534
VIKING BEIRUT PARFUM ,caballero," $1932.00 ",1,100,EDP,Amaderada,BHARARA,https://cazanovaonline.mx/cdn/shop/files/png_viking_beirut_tiendajr.jpg?v=1684783536
BHARARA PHARAOH RAMESSES,caballero," $3346.00 ",1,100,EDP,Amaderada,BHARARA,https://m.media-amazon.com/images/I/71xTciAYZSL.jpg
BURBERRY LONDON,caballero," $1240.00 ",0,100,EDT,Amaderada,BURBERRY,90521
BURBERRY FOR MEN,caballero," $1550.00 ",1,100,EDT,Amaderada,BURBERRY,https://perfumegallery.com.mx/cdn/shop/files/3614226905758-3.jpg?v=1702003733
SET MR BURBERRY,caballero," $2519.00 ",0,100/50,EDT,Amaderada,BURBERRY,https://intranet.ufra.com.mx/img/products/catalog/99260107990/99260107990_1.jpg
BURBERRY HERO REFILLABLE,caballero," $3255.00 ",2,100,EDP,Amaderada,BURBERRY,83801
BVLGARI MAN RAIN ESSENCE,caballero," $2992.00 ",1,100,EDP,Amaderada,BVLGARI,https://intranet.ufra.com.mx/img/products/catalog/I0091753/I0091753_1.jpg
BVLGARI MAN GLACIAL ESSENCE,caballero," $2992.00 ",1,100,EDP,Amaderada,BVLGARI,https://http2.mlstatic.com/D_Q_NP_941256-MLA84480408855_052025-O.webp
BVLGARI MAN TERRAE ESSENCE,caballero," $2992.00 ",0,100,EDP,Amaderada,BVLGARI,I0091912
OBSESSION NIGHT,caballero," $884.00 ",1,125,EDT,Amaderada,CALVIN KLEIN,1006140
OBSESSION FOR MEN,caballero," $1209.00 ",2,125,EDT,Amaderada,CALVIN KLEIN,10651
ETERNITY FOR MEN,caballero," $1209.00 ",2,100,EDT,Amaderada,CALVIN KLEIN,10551
CK BE,caballero," $1070.00 ",3,100,EDT,Amaderada,CALVIN KLEIN,10440
CARLO CORINTO DARK,caballero," $1054.00 ",2,100,EDP,Amaderada,CARLO CORINTO,https://intranet.ufra.com.mx/img/products/catalog/1050056034/1050056034_1.jpg
CARLO CORINTO WILD ,caballero," $1054.00 ",2,100,EDP,Amaderada,CARLO CORINTO,https://intranet.ufra.com.mx/img/products/catalog/1050058034/1050058034_1.jpg
